,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-03-16,128,6,19,,,,,,,,,,,,,17,17,2,2,2,17,17,24,144
2019-03-17,25,0,0,4,,,,,,,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,152
2019-03-19,147,6,144,,,,,294,294,358,358,292,292,292,,294,,,294,36,36,,294,358
2019-03-20,358,358,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,,,,17,176,153,144,16,1,144,304,128,144,144,,0,0,,6,6,6,6,0,1
2019-03-22,1,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23,,,,,,294,358,292,294,358,358,294,292,294,,19,55,6,18,18,150,130,152,154
2019-03-24,0,,,,292,,294,294,294,358,358,176,176,22,294,,,,,,,,,
2019-03-25,,,,,17,,,,294,294,292,294,294,,,294,,294,294,294,294,294,294,358
2019-03-26,294,294,38,,,6,6,19,147,146,294,146,184,49,146,,,,,,,,,
2019-03-27,,,38,,,,,,,,,,,,,,,,,,,,,
2019-03-28,,,,,,54,358,294,311,294,182,297,292,185,,358,358,358,358,358,358,6,358,294
2019-03-29,262,,,,,,,,,,,,,,,,294,294,294,294,358,358,358,358
2019-03-30,294,358,,144,154,144,147,358,144,19,152,154,57,184,,154,154,138,138,128,147,6,154,6
2019-03-31,154,,,,,,,,,,,,,,,294,294,294,294,294,294,294,294,294
2019-04-01,294,6,356,,,,,,,,,,,,,,130,,,130,138,138,128,128
2019-04-02,,147,24,,,,,294,292,358,358,292,292,38,,,,,,,,,,
2019-04-03,,,,,,,,,,,,,,,,,6,6,6,18,18,19,24,24
2019-04-04,24,,,,,292,,294,294,294,358,294,292,358,128,,,,,,,,,
2019-04-05,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-06,,,,294,,358,294,292,358,358,358,358,294,297,6,,,,,,,,,
2019-04-07,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,,,,,,,,,294,294,294,358,294,486,,294,294,358,262,36,38,6,6,70
2019-04-09,358,,,,,,,294,294,294,358,294,358,294,,18,128,19,130,144,144,138,138,128
2019-04-10,128,130,,358,358,293,292,294,326,55,292,38,313,438,,,,,,,,,,
2019-04-11,,,,,294,292,292,294,358,310,294,294,294,289,294,,,,,,,,,
2019-04-12,,,36,,,,,,,,,,,,,,,,,,,,,
2019-04-13,,,,,17,294,294,38,294,294,294,294,294,294,,16,6,17,17,18,19,18,19,1
2019-04-14,24,,,,,,,,,,,,,,,,,,,,,,,
2019-04-15,,,,294,,,294,294,55,55,184,184,179,294,,19,,,6,19,6,18,19,19
2019-04-16,19,,,,,,,,,,,,,,,6,294,294,262,292,292,326,326,326
2019-04-17,358,358,,292,294,358,294,292,16,297,24,297,17,329,6,,,,,,,,,
