,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-03-21,,,25,,0,,153,,144,,16,,25,,6,,0,,2,,6,,1,
2019-03-22,6,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23,,,358,,358,,358,,294,,294,,292,,,,,,17,,18,,152,
2019-03-24,152,,,292,,294,,24,,176,,176,,19,294,,358,,358,,294,,292,
2019-03-25,6,,,,,,358,,36,,294,,292,,,,,,,294,,294,,294
2019-03-26,,294,,147,,55,,6,,22,,310,,54,138,,152,,128,,152,,128,
2019-03-27,154,,38,,,,,,,,,,,,,,,,,,,,,
2019-03-28,,,54,,311,,6,,297,,292,,155,,358,,358,,358,,294,,326,
2019-03-29,294,,,,,,,,,,,,,,,294,,358,,358,,294,,358
2019-03-30,,6,154,,147,,292,,146,,152,,130,,19,,144,,146,,147,,153,
2019-03-31,138,,,,,,,,,,,,,,294,,294,,6,,294,,294,
2019-04-01,38,,,,,,,,,,,,,,,,,,,,,,,
2019-04-02,,,,294,,292,,294,,292,,56,,176,,,,,,,,,,
2019-04-03,,,292,,,,,,,,,,,,,,,38,,38,,36,,6
2019-04-04,,6,,292,,358,,292,,358,,293,,292,147,,49,,19,,130,,128,
2019-04-05,128,,,,,,,,,,,,,,,,,,,,,,,
2019-04-06,,,294,,292,,292,,297,,301,,358,,6,,22,,146,,128,,147,
2019-04-07,138,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-09,,,,294,,294,,294,,294,,294,,293,18,,144,,146,,128,,146,
2019-04-10,128,,358,,294,,55,,19,,184,,292,502,,502,,438,,502,,54,,152
2019-04-11,,184,,294,,294,,293,,294,,1,,17,6,,49,,294,,22,,144,
2019-04-12,294,,36,,,,,,,,,,,,,,,,,,,,,
2019-04-13,,,17,,294,,38,,294,,294,,294,,19,,18,,17,,18,,2,
2019-04-14,19,,,,,,,,,,,,,,,,,,,,,,,
2019-04-15,,,294,,55,,297,,57,,152,,294,,19,,2,,6,,6,,18,
2019-04-16,19,,,,,,,,,,,,,,6,,262,,358,,358,,294,
2019-04-17,56,,294,,41,,292,,1,,176,,144,,6,,2,,2,,17,,144,
2019-04-18,0,,17,,,,,,,,,,,,,,,,,,,,,
2019-04-19,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-20,,,,358,,294,,294,,294,,358,,260,262,,326,,6,,294,,17,
2019-04-21,294,,294,,,,,,,,,,,,,,,,,,,,,
2019-04-22,,,128,,128,,147,,144,,144,,128,,1,,6,,6,,6,,6,
2019-04-23,2,,,,,,,,,,,,,,,144,,19,,19,,16,,128
2019-04-24,,154,144,,152,,19,,147,,17,,153,,19,,19,,6,,6,,6,
2019-04-25,6,,,294,,,,,,294,,294,,294,,,,,326,,326,,326,
2019-04-26,6,,294,,294,,292,,294,,292,,293,138,,16,,128,,0,,152,,130
2019-04-27,,17,,292,,292,,292,,294,,294,,294,6,,38,,358,,310,,326,
2019-04-28,33,,38,,,,,,,,,,,,,,,,,,,,,
2019-04-29,,,292,,38,,358,,292,,18,,154,,130,,146,,147,,152,,18,
2019-04-30,146,,,,,,,,,,,,,,,,,,,38,,6,,6
2019-05-01,,38,358,,294,,358,,294,,301,,358,,294,,326,,358,,6,,57,
2019-05-02,6,,,,,,,,,,,,,,,,,,56,,146,,138,
2019-05-03,18,,144,,297,,25,,153,,24,,152,,6,,262,,326,,6,,6,
2019-05-04,6,,358,,,,,294,,294,,294,,294,294,,294,,6,,358,,6,
2019-05-05,6,,358,,,,,,,,,,,,,,,,,,,16,,18
2019-05-06,,18,,,,,,,,,,,,,,,,,,,,,,
2019-05-07,,,19,,,,,,,,,,,,,,,,,,,,,
2019-05-08,,,358,,358,,294,,294,,292,,293,,6,,6,,6,,18,,19,
2019-05-09,19,,,,,,,,,,,,,,,,,,,2,,154,,128
2019-05-10,,24,144,,144,,144,,144,,176,,176,,1,,2,,6,,6,,6,
2019-05-11,2,,,1,,1,,0,,1,,1,,1,18,,17,,6,,6,,0,
2019-05-12,152,,304,,432,,304,,64,,1,,292,,,,,2,,6,,128,,144
2019-05-13,,144,,,,,,176,,154,,144,,56,,,,,144,,144,,147,
2019-05-14,154,,294,,,,,,,,,,,,,,,,,,,,,
2019-05-15,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-16,,,,,,,,,,,,,,,,,,,,128,,152,,19
2019-05-17,,146,6,,136,,358,,136,,128,,294,,326,,294,,438,,152,,294,
2019-05-18,294,,,,,,,,,,,,,,294,,358,,358,,262,,294,
2019-05-19,358,,292,,293,,301,,292,,297,,309,,147,,130,,130,,154,,130,
2019-05-20,144,,144,144,,0,,16,,16,,16,,152,144,,18,,147,,144,,138,
2019-05-21,128,,294,,,,,,,,,,,,,,,38,,38,,38,,38
2019-05-22,,38,,358,,294,,293,,294,,358,,6,358,,294,,37,,358,,292,
2019-05-23,292,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24,,,293,,292,,358,,358,,358,,358,,6,,4,,358,,294,,294,
2019-05-25,326,,,,,,,,,,,,,,,,,,,4,,6,,6
2019-05-26,,4,38,,294,,309,,56,,317,,49,,6,,18,,6,,22,,128,
