,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-01-01,,,,,,,,,,,,,,,,292.0,,294.0,,294.0,,294.0,,293.6666666666667
2019-01-02,,258.0,293.0,,307.0,,331.8,,325.5,,328.15384615384613,,337.75,,28.5,,18.0,,8.666666666666666,,19.666666666666668,,58.57142857142857,
2019-01-03,41.916666666666664,,,,,,,294.0,,294.0,,294.0,,,,,,,294.0,,294.0,,293.85714285714283,
2019-01-04,293.5,,293.0,,,,292.0,,293.0,,342.0,,336.6666666666667,,,,,,,294.0,,294.0,,
2019-01-05,,294.0,,,,,,,,294.0,,121.0,,326.0,,,,,165.0,,166.0,,150.0,
2019-01-06,294.0,,0.0,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,292.0,,320.85714285714283,,335.6666666666667,,334.7857142857143,,327.27777777777777,,311.5,,51.0,,231.875,,177.1,,265.44444444444446,,245.04545454545453,
2019-01-08,276.74074074074076,,,,,,,,,,,,,,,1.0,,25.0,,60.75,,120.66666666666667,,89.375
2019-01-09,,130.33333333333334,16.0,,247.6,,277.0,,257.77777777777777,,228.76923076923077,,214.41666666666666,,1.0,,3.6666666666666665,,3.3333333333333335,,85.0,,16.714285714285715,
2019-01-10,14.583333333333334,,,,,,,,,,,,,,152.0,,104.0,,46.833333333333336,,31.375,,98.3,
2019-01-11,11.266666666666667,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,,,,292.0,,294.0,,326.0,,315.3333333333333,,302.0,,326.0,184.0,,214.66666666666666,,246.0,,294.0,,298.0,
2019-01-13,286.27272727272725,,36.0,,208.33333333333334,,106.0,,106.42857142857143,,133.4,,99.2,,,,,,,,,,,
2019-01-14,,,,293.0,,104.0,,104.0,,220.33333333333334,,308.14285714285717,,336.3333333333333,,,,,147.66666666666666,,147.83333333333334,,149.16666666666666,
2019-01-15,126.5,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,292.0,,208.8,,161.83333333333334,,162.63636363636363,,189.86666666666667,,220.0,,294.0,,46.0,,93.57142857142857,,124.6,,132.0,
2019-01-17,113.84615384615384,,,,,,,,,,,,,,,,,,,294.0,,,,294.0
2019-01-18,,294.0,130.83333333333334,,118.6896551724138,,93.91489361702128,,118.25396825396825,,128.02409638554218,,133.66336633663366,,148.0,,127.05555555555556,,92.79310344827586,,80.88095238095238,,56.26315789473684,
2019-01-19,66.04411764705883,,,292.0,,,,315.3333333333333,,336.6666666666667,,310.0,,344.8,,,,,332.0,,345.2,,318.0,
2019-01-20,328.46153846153845,,,,,,,,294.0,,294.0,,326.0,,,,,,,,,19.0,,19.0
