,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-03-17,1,,6,4,,4,,356,,292,,292,,294,,,,,,,,,,
2019-03-18,,,19,,,,,,,,,,,,,,,,,1,,1,,292
2019-03-19,,292,,,,,,358,,294,,292,,358,294,,0,,294,,358,,36,
2019-03-20,358,,294,,,,,,,,,,,,,,,,,,,,,
2019-03-21,,,17,,25,,304,,24,,24,,16,,6,,6,,6,,6,,326,
2019-03-22,1,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23,,,358,,293,,358,,294,,317,,294,,152,,147,,6,,154,,18,
2019-03-24,130,,,294,,358,,358,,294,,294,,358,294,,294,,358,,358,,294,
2019-03-25,38,,17,,294,,292,,358,,356,,294,294,,49,,38,,38,,294,,4
2019-03-26,,6,,6,,51,,6,,147,,311,,154,147,,128,,128,,130,,128,
2019-03-27,152,,147,,,,,,,,,,,,,,,,,,,,,
2019-03-28,,,33,,155,,154,,22,,439,,176,,38,,358,,294,,358,,358,
2019-03-29,294,,,,,,,,,,,,,,,294,,294,,294,,294,,6
2019-03-30,,6,144,,152,,154,,128,,176,,152,,154,,144,,130,,38,,144,
2019-03-31,144,,,,,,,,,,,294,,,294,,294,,358,,262,,22,
2019-04-01,4,,292,,358,,293,,358,,358,,293,,130,,6,,6,,38,,150,
2019-04-02,147,,153,292,,358,,294,,294,,292,,294,,,,,,,,,,
2019-04-03,,,358,,,,,,,,,,,,,,,294,,147,,146,,154
2019-04-04,,6,,292,,358,,358,,486,,292,,292,147,,138,,6,,128,,130,
2019-04-05,146,,294,,,,,,,,,,,,,,,,,,,,,
2019-04-06,,,358,,358,,292,,294,,292,,358,,22,,146,,155,,147,,138,
2019-04-07,146,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,,,358,,294,,292,,358,,294,,292,,36,,6,,358,,6,,6,
2019-04-09,6,,,294,,358,,294,,294,,294,,6,292,,6,,146,,262,,36,
2019-04-10,326,,292,,356,,311,,301,,297,,57,502,,502,,358,,128,,38,,294
2019-04-11,,4,,294,,292,,294,,294,,292,,38,294,,24,,17,,294,,16,
2019-04-12,294,,294,,,,,,,,,,,,,,,,,,,,,
2019-04-13,,,294,,38,,176,,294,,1,,146,,2,,17,,1,,19,,24,
2019-04-14,18,,,,,,,,,,,,,,,294,,358,,294,,6,,6
2019-04-15,,6,309,,358,,294,,294,,153,,294,,6,,6,,19,,18,,22,
2019-04-16,146,,,,,,,,,,,37,,,6,,294,,294,,294,,294,
2019-04-17,6,,294,,292,,292,,1,,49,,292,,0,,6,,22,,294,,294,
2019-04-18,6,,152,292,,294,,292,,294,,358,,294,,,,,,,,,,
2019-04-19,,,292,,,,,,,,,,,,,,,,,,,,,6
2019-04-20,,6,,358,,294,,294,,294,,294,,294,262,,294,,326,,146,,154,
2019-04-21,18,,294,,,,,,,,,,,,,,,,,,,,,128
2019-04-22,,130,130,,146,,152,,48,,128,,154,,6,,17,,2,,6,,152,
2019-04-23,154,,,,,,,,,,,,,,,6,,2,,49,,0,,2
2019-04-24,,1,144,,18,,1,,6,,152,,152,,2,,6,,6,,17,,16,
2019-04-25,25,,,294,,358,,358,,294,,294,,294,6,,6,,6,,36,,6,
2019-04-26,6,,294,,294,,294,,294,,294,,292,138,,130,,18,,16,,146,,24
2019-04-27,,2,,292,,294,,358,,358,,358,,294,6,,358,,358,,326,,326,
2019-04-28,38,,309,,,,,,,,,,,,,,,,,,,,,
2019-04-29,,,293,,358,,38,,358,,17,,293,,130,,146,,138,,152,,138,
2019-04-30,144,,,,,,,,,,,,,,,6,,6,,6,,294,,6
2019-05-01,,294,358,,294,,294,,292,,292,,292,,294,,294,,326,,22,,294,
2019-05-02,6,,,,,,,,,,,,,,18,,2,,19,,130,,130,
2019-05-03,19,,18,,9,,153,,152,,184,,144,,6,,294,,6,,6,,294,
2019-05-04,36,,6,294,,294,,292,,294,,294,,294,6,,6,,262,,326,,262,
2019-05-05,6,,294,,,,,,,,,,,,,,,,,4,,2,,18
2019-05-06,,24,,358,,294,,294,,294,,294,,358,6,,6,,326,,326,,22,
2019-05-07,6,,38,,,,,,,,,,,,,,,,,,,,,51
2019-05-08,,54,294,,294,,294,,292,,292,,294,,6,,326,,294,,326,,38,
2019-05-09,262,,,,,,,,,,,,,,,6,,6,,0,,6,,146
2019-05-10,,19,144,,33,,144,,144,,144,,144,,2,,2,,6,,17,,152,
2019-05-11,144,,,1,,1,,4,,6,,1,,6,0,,24,,24,,2,,18,
2019-05-12,17,,57,,25,,19,,18,,292,,293,144,,152,,1,,24,,176,,144
2019-05-13,,176,,56,,144,,22,,38,,176,,144,128,,152,,18,,154,,147,
2019-05-14,6,,294,,,,,,,,,,,,,,,,,,,,,
2019-05-15,,,358,,358,,294,,294,,326,,358,,6,,326,,6,,358,,358,
2019-05-16,262,,,,,,,,,,,,,,,130,,138,,130,,128,,146
2019-05-17,,138,49,,486,,293,,294,,294,,309,,6,,294,,152,,294,,294,
2019-05-18,294,,,,,,,,,,,19,,,358,,294,,292,,294,,38,
2019-05-19,6,,294,,293,,313,,6,,292,,147,,147,,146,,144,,128,,154,
2019-05-20,6,,6,176,,0,,16,,24,,152,,147,154,,128,,147,,136,,153,
2019-05-21,19,,294,,,,,,,,,,,,,,,294,,38,,6,,6
2019-05-22,,262,,292,,356,,294,,294,,294,,294,358,,358,,358,,358,,326,
2019-05-23,454,,294,,,,,,,,,,,,,,,,,,,,,
2019-05-24,,6,358,,358,,294,,358,,356,,356,,358,,358,,358,,358,,326,
2019-05-25,358,,,,,,,,,,,,,,,6,,4,,6,,4,,2
2019-05-26,,0,24,,22,,305,,294,,54,,4,,6,,150,,17,,144,,154,
2019-05-27,304,,,294,,294,,294,,294,,292,,294,486,,358,,358,,6,,324,
2019-05-28,70,,358,,358,,292,,294,,294,,294,294,,294,,6,,4,,4,,6
2019-05-29,,6,,24,,49,,2,,358,,294,,294,294,,358,,294,,358,,358,
2019-05-30,37,,294,,,,,,,,,,,,,,,,,,,,,
2019-05-31,,,294,,358,,358,,358,,292,,294,,1,,18,,18,,18,,16,
2019-06-01,17,,,,,,,,,,,,,,,16,,0,,6,,18,,24
2019-06-02,,152,294,,36,,294,,294,,6,,2,,1,,24,,2,,6,,2,
2019-06-03,1,,,,,,,,,,,,,,0,,6,,48,,48,,144,
